Country,Year,CapitalCity,Population
Afghanistan,2005,Kabul,"2,905"
Afghanistan,2010,Kabul,"3,289"
Afghanistan,2015,Kabul,"3,724"
Afghanistan,2018,Kabul,"4,012"
Albania,2005,Tirana,372
Albania,2010,Tirana,409
Albania,2015,Tirana,449
Albania,2018,Tirana,476
Algeria,2005,Algiers,"2,282"
Algeria,2010,Algiers,"2,432"
Algeria,2015,Algiers,"2,592"
Algeria,2018,Algiers,"2,694"
American Samoa,2018,Pago Pago,49
Andorra,2018,Andorra la Vella,23
Angola,2005,Luanda,"3,872"
Angola,2010,Luanda,"5,300"
Angola,2015,Luanda,"7,023"
Angola,2018,Luanda,"7,774"
Anguilla,2018,The Valley,1
Antigua and Barbuda,2018,Saint John's,21
Argentina,2005,Buenos Aires,"13,330"
Argentina,2010,Buenos Aires,"14,246"
Argentina,2015,Buenos Aires,"14,706"
Argentina,2018,Buenos Aires,"14,967"
Armenia,2005,Yerevan,"1,087"
Armenia,2010,Yerevan,"1,066"
Armenia,2015,Yerevan,"1,071"
Armenia,2018,Yerevan,"1,080"
Aruba,2018,Oranjestad,30
Australia,2005,Canberra,366
Australia,2010,Canberra,398
Australia,2015,Canberra,429
Australia,2018,Canberra,448
Austria,2005,Vienna,"1,641"
Austria,2010,Vienna,"1,731"
Austria,2015,Vienna,"1,835"
Austria,2018,Vienna,"1,901"
Azerbaijan,2005,Baku,"1,867"
Azerbaijan,2010,Baku,"2,062"
Azerbaijan,2015,Baku,"2,206"
Azerbaijan,2018,Baku,"2,286"
Bahamas,2018,Nassau,280
Bahrain,2005,Manama,198
Bahrain,2010,Manama,292
Bahrain,2015,Manama,441
Bahrain,2018,Manama,565
Bangladesh,2005,Dhaka,"12,331"
Bangladesh,2010,Dhaka,"14,731"
Bangladesh,2015,Dhaka,"17,597"
Bangladesh,2018,Dhaka,"19,578"
Barbados,2018,Bridgetown,89
Belarus,2005,Minsk,"1,775"
Belarus,2010,Minsk,"1,850"
Belarus,2015,Minsk,"1,945"
Belarus,2018,Minsk,"2,005"
Belgium,2005,Brussels,"1,853"
Belgium,2010,Brussels,"1,926"
Belgium,2015,Brussels,"2,002"
Belgium,2018,Brussels,"2,050"
Belize,2018,Belmopan,23
Benin,2018,Porto-Novo,285
Bermuda,2018,Hamilton,10
Bhutan,2018,Thimphu,203
Bolivia (Plurin. State of),2018,Sucre,278
"Bonaire, St. Eustatius & Saba",2018,Kralendijk,11
Bosnia and Herzegovina,2005,Sarajevo,342
Bosnia and Herzegovina,2010,Sarajevo,342
Bosnia and Herzegovina,2015,Sarajevo,342
Bosnia and Herzegovina,2018,Sarajevo,343
Botswana,2018,Gaborone,269
Brazil,2005,Brasilia,"3,301"
Brazil,2010,Brasilia,"3,710"
Brazil,2015,Brasilia,"4,168"
Brazil,2018,Brasilia,"4,470"
British Virgin Islands,2018,Road Town,15
Brunei Darussalam,2018,Bandar Seri Begawan,41
Bulgaria,2005,Sofia,"1,169"
Bulgaria,2010,Sofia,"1,216"
Bulgaria,2015,Sofia,"1,256"
Bulgaria,2018,Sofia,"1,272"
Burkina Faso,2005,Ouagadougou,"1,328"
Burkina Faso,2010,Ouagadougou,"1,742"
Burkina Faso,2015,Ouagadougou,"2,200"
Burkina Faso,2018,Ouagadougou,"2,531"
Burundi,2005,Bujumbura,412
Burundi,2010,Bujumbura,556
Burundi,2015,Bujumbura,751
Burundi,2018,Bujumbura,899
Cabo Verde,2018,Praia,168
Cambodia,2005,Phnom Penh,"1,317"
Cambodia,2010,Phnom Penh,"1,523"
Cambodia,2015,Phnom Penh,"1,779"
Cambodia,2018,Phnom Penh,"1,952"
Cameroon,2005,Yaoundé,"1,781"
Cameroon,2010,Yaoundé,"2,349"
Cameroon,2015,Yaoundé,"3,097"
Cameroon,2018,Yaoundé,"3,656"
Canada,2005,Ottawa,"1,122"
Canada,2010,Ottawa,"1,218"
Canada,2015,Ottawa,"1,308"
Canada,2018,Ottawa,"1,363"
Cayman Islands,2018,George Town,35
Central African Republic,2005,Bangui,644
Central African Republic,2010,Bangui,717
Central African Republic,2015,Bangui,798
Central African Republic,2018,Bangui,851
Chad,2005,N'Djamena,827
Chad,2010,N'Djamena,991
Chad,2015,N'Djamena,"1,187"
Chad,2018,N'Djamena,"1,323"
Channel Islands,2018,Saint Helier,34
Chile,2005,Santiago,"6,025"
Chile,2010,Santiago,"6,269"
Chile,2015,Santiago,"6,523"
Chile,2018,Santiago,"6,680"
China,2005,Beijing,"12,991"
China,2010,Beijing,"16,441"
China,2015,Beijing,"18,421"
China,2018,Beijing,"19,618"
"China, Hong Kong SAR",2005,Hong Kong,"6,828"
"China, Hong Kong SAR",2010,Hong Kong,"7,025"
"China, Hong Kong SAR",2015,Hong Kong,"7,246"
"China, Hong Kong SAR",2018,Hong Kong,"7,429"
"China, Macao SAR",2005,Macao,483
"China, Macao SAR",2010,Macao,537
"China, Macao SAR",2015,Macao,601
"China, Macao SAR",2018,Macao,632
Colombia,2005,Bogota,"7,299"
Colombia,2010,Bogota,"8,418"
Colombia,2015,Bogota,"9,708"
Colombia,2018,Bogota,"10,574"
Comoros,2018,Moroni,62
Congo,2005,Brazzaville,"1,269"
Congo,2010,Brazzaville,"1,576"
Congo,2015,Brazzaville,"1,958"
Congo,2018,Brazzaville,"2,230"
Cook Islands,2018,Avarua,13
Costa Rica,2005,San José,"1,114"
Costa Rica,2010,San José,"1,202"
Costa Rica,2015,San José,"1,297"
Costa Rica,2018,San José,"1,358"
Croatia,2005,Zagreb,690
Croatia,2010,Zagreb,688
Croatia,2015,Zagreb,687
Croatia,2018,Zagreb,686
Cuba,2005,Havana,"2,180"
Cuba,2010,Havana,"2,143"
Cuba,2015,Havana,"2,124"
Cuba,2018,Havana,"2,136"
Curaçao,2018,Willemstad,144
Cyprus,2018,Nicosia,269
Czechia,2005,Prague,"1,199"
Czechia,2010,Prague,"1,234"
Czechia,2015,Prague,"1,269"
Czechia,2018,Prague,"1,292"
Dem. People's Rep. Korea,2005,Pyongyang,"2,805"
Dem. People's Rep. Korea,2010,Pyongyang,"2,861"
Dem. People's Rep. Korea,2015,Pyongyang,"2,970"
Dem. People's Rep. Korea,2018,Pyongyang,"3,038"
Dem. Rep. of the Congo,2005,Kinshasa,"7,589"
Dem. Rep. of the Congo,2010,Kinshasa,"9,382"
Dem. Rep. of the Congo,2015,Kinshasa,"11,598"
Dem. Rep. of the Congo,2018,Kinshasa,"13,171"
Denmark,2005,Copenhagen,"1,127"
Denmark,2010,Copenhagen,"1,192"
Denmark,2015,Copenhagen,"1,271"
Denmark,2018,Copenhagen,"1,321"
Djibouti,2005,Djibouti,442
Djibouti,2010,Djibouti,485
Djibouti,2015,Djibouti,531
Djibouti,2018,Djibouti,562
Dominica,2018,Roseau,15
Dominican Republic,2005,Santo Domingo,"2,297"
Dominican Republic,2010,Santo Domingo,"2,601"
Dominican Republic,2015,Santo Domingo,"2,945"
Dominican Republic,2018,Santo Domingo,"3,172"
Ecuador,2005,Quito,"1,479"
Ecuador,2010,Quito,"1,598"
Ecuador,2015,Quito,"1,734"
Ecuador,2018,Quito,"1,822"
Egypt,2005,Cairo,"15,174"
Egypt,2010,Cairo,"16,899"
Egypt,2015,Cairo,"18,820"
Egypt,2018,Cairo,"20,076"
El Salvador,2005,San Salvador,"1,074"
El Salvador,2010,San Salvador,"1,086"
El Salvador,2015,San Salvador,"1,099"
El Salvador,2018,San Salvador,"1,107"
Equatorial Guinea,2018,Malabo,297
Eritrea,2005,Asmara,558
Eritrea,2010,Asmara,670
Eritrea,2015,Asmara,803
Eritrea,2018,Asmara,896
Estonia,2005,Tallinn,397
Estonia,2010,Tallinn,394
Estonia,2015,Tallinn,416
Estonia,2018,Tallinn,437
Eswatini,2018,Mbabane,68
Ethiopia,2005,Addis Ababa,"2,634"
Ethiopia,2010,Addis Ababa,"3,126"
Ethiopia,2015,Addis Ababa,"3,871"
Ethiopia,2018,Addis Ababa,"4,400"
Falkland Islands (Malvinas),2018,Stanley,2
Faroe Islands,2018,Tórshavn,21
Fiji,2018,Suva,178
Finland,2005,Helsinki,"1,067"
Finland,2010,Helsinki,"1,126"
Finland,2015,Helsinki,"1,222"
Finland,2018,Helsinki,"1,279"
France,2005,Paris,"10,092"
France,2010,Paris,"10,460"
France,2015,Paris,"10,734"
France,2018,Paris,"10,901"
French Guiana,2018,Cayenne,58
French Polynesia,2018,Papeete,136
Gabon,2005,Libreville,563
Gabon,2010,Libreville,649
Gabon,2015,Libreville,747
Gabon,2018,Libreville,813
Gambia,2005,Banjul,368
Gambia,2010,Banjul,393
Gambia,2015,Banjul,420
Gambia,2018,Banjul,437
Georgia,2005,Tbilisi,"1,081"
Georgia,2010,Tbilisi,"1,079"
Georgia,2015,Tbilisi,"1,078"
Georgia,2018,Tbilisi,"1,077"
Germany,2005,Berlin,"3,391"
Germany,2010,Berlin,"3,450"
Germany,2015,Berlin,"3,514"
Germany,2018,Berlin,"3,552"
Ghana,2005,Accra,"1,854"
Ghana,2010,Accra,"2,060"
Ghana,2015,Accra,"2,290"
Ghana,2018,Accra,"2,439"
Gibraltar,2018,Gibraltar,35
Greece,2005,Athens,"3,180"
Greece,2010,Athens,"3,170"
Greece,2015,Athens,"3,161"
Greece,2018,Athens,"3,156"
Greenland,2018,Nuuk,18
Grenada,2018,Saint George's,39
Guadeloupe,2018,Basse-Terre,58
Guam,2018,Hagåtña,147
Guatemala,2005,Guatemala City,"2,302"
Guatemala,2010,Guatemala City,"2,560"
Guatemala,2015,Guatemala City,"2,738"
Guatemala,2018,Guatemala City,"2,851"
Guinea,2005,Conakry,"1,345"
Guinea,2010,Conakry,"1,518"
Guinea,2015,Conakry,"1,714"
Guinea,2018,Conakry,"1,843"
Guinea-Bissau,2005,Bissau,336
Guinea-Bissau,2010,Bissau,409
Guinea-Bissau,2015,Bissau,497
Guinea-Bissau,2018,Bissau,558
Guyana,2018,Georgetown,110
Haiti,2005,Port-au-Prince,"2,171"
Haiti,2010,Port-au-Prince,"2,141"
Haiti,2015,Port-au-Prince,"2,439"
Haiti,2018,Port-au-Prince,"2,637"
Holy See,2018,Vatican City,1
Honduras,2005,Tegucigalpa,882
Honduras,2010,Tegucigalpa,"1,043"
Honduras,2015,Tegucigalpa,"1,233"
Honduras,2018,Tegucigalpa,"1,363"
Hungary,2005,Budapest,"1,756"
Hungary,2010,Budapest,"1,734"
Hungary,2015,Budapest,"1,746"
Hungary,2018,Budapest,"1,759"
Iceland,2018,Reykjavik,216
India,2005,New Delhi,"18,691"
India,2010,New Delhi,"21,988"
India,2015,New Delhi,"25,866"
India,2018,New Delhi,"28,514"
Indonesia,2005,Jakarta,"8,988"
Indonesia,2010,Jakarta,"9,626"
Indonesia,2015,Jakarta,"10,173"
Indonesia,2018,Jakarta,"10,517"
Iran (Islamic Republic of),2005,Tehran,"7,652"
Iran (Islamic Republic of),2010,Tehran,"8,059"
Iran (Islamic Republic of),2015,Tehran,"8,555"
Iran (Islamic Republic of),2018,Tehran,"8,896"
Iraq,2005,Baghdad,"5,327"
Iraq,2010,Baghdad,"5,652"
Iraq,2015,Baghdad,"6,351"
Iraq,2018,Baghdad,"6,812"
Ireland,2005,Dublin,"1,037"
Ireland,2010,Dublin,"1,100"
Ireland,2015,Dublin,"1,163"
Ireland,2018,Dublin,"1,201"
Isle of Man,2018,Douglas,27
Israel,2005,Jerusalem,719
Israel,2010,Jerusalem,781
Israel,2015,Jerusalem,858
Israel,2018,Jerusalem,907
Italy,2005,Rome,"3,807"
Italy,2010,Rome,"3,957"
Italy,2015,Rome,"4,113"
Italy,2018,Rome,"4,210"
Jamaica,2005,Kingston,581
Jamaica,2010,Kingston,584
Jamaica,2015,Kingston,587
Jamaica,2018,Kingston,589
Japan,2005,Tokyo,"35,622"
Japan,2010,Tokyo,"36,860"
Japan,2015,Tokyo,"37,256"
Japan,2018,Tokyo,"37,468"
Jordan,2005,Amman,"1,094"
Jordan,2010,Amman,"1,397"
Jordan,2015,Amman,"1,783"
Jordan,2018,Amman,"2,065"
Kazakhstan,2005,Astana,538
Kazakhstan,2010,Astana,664
Kazakhstan,2015,Astana,894
Kazakhstan,2018,Astana,"1,068"
Kenya,2005,Nairobi,"2,677"
Kenya,2010,Nairobi,"3,237"
Kenya,2015,Nairobi,"3,914"
Kenya,2018,Nairobi,"4,386"
Kiribati,2015,Bairiki,3
Kuwait,2005,Kuwait City,"1,548"
Kuwait,2010,Kuwait City,"1,994"
Kuwait,2015,Kuwait City,"2,568"
Kuwait,2018,Kuwait City,"2,989"
Kyrgyzstan,2005,Bishkek,798
Kyrgyzstan,2010,Bishkek,844
Kyrgyzstan,2015,Bishkek,936
Kyrgyzstan,2018,Bishkek,996
Lao People's Dem. Rep.,2005,Vientiane,572
Lao People's Dem. Rep.,2010,Vientiane,606
Lao People's Dem. Rep.,2015,Vientiane,642
Lao People's Dem. Rep.,2018,Vientiane,665
Latvia,2005,Riga,712
Latvia,2010,Riga,665
Latvia,2015,Riga,646
Latvia,2018,Riga,637
Lebanon,2005,Beirut,"1,777"
Lebanon,2010,Beirut,"1,990"
Lebanon,2015,Beirut,"2,229"
Lebanon,2018,Beirut,"2,385"
Lesotho,2018,Maseru,202
Liberia,2005,Monrovia,"1,202"
Liberia,2010,Monrovia,"1,056"
Liberia,2015,Monrovia,"1,270"
Liberia,2018,Monrovia,"1,418"
Libya,2005,Tripoli,"1,058"
Libya,2010,Tripoli,"1,095"
Libya,2015,Tripoli,"1,134"
Libya,2018,Tripoli,"1,158"
Liechtenstein,2018,Vaduz,5
Lithuania,2005,Vilnius,535
Lithuania,2010,Vilnius,526
Lithuania,2015,Vilnius,531
Lithuania,2018,Vilnius,536
Luxembourg,2018,Luxembourg,120
Madagascar,2005,Antananarivo,"1,561"
Madagascar,2010,Antananarivo,"2,021"
Madagascar,2015,Antananarivo,"2,618"
Madagascar,2018,Antananarivo,"3,058"
Malawi,2005,Lilongwe,590
Malawi,2010,Lilongwe,731
Malawi,2015,Lilongwe,905
Malawi,2018,Lilongwe,"1,030"
Malaysia,2005,Kuala Lumpur,"4,927"
Malaysia,2010,Kuala Lumpur,"5,810"
Malaysia,2015,Kuala Lumpur,"6,851"
Malaysia,2018,Kuala Lumpur,"7,564"
Maldives,2018,Male,177
Mali,2005,Bamako,"1,486"
Mali,2010,Bamako,"1,886"
Mali,2015,Bamako,"2,219"
Mali,2018,Bamako,"2,447"
Malta,2018,Valletta,213
Marshall Islands,2018,Majuro,31
Martinique,2018,Fort-de-France,79
Mauritania,2005,Nouakchott,684
Mauritania,2010,Nouakchott,851
Mauritania,2015,Nouakchott,"1,058"
Mauritania,2018,Nouakchott,"1,205"
Mauritius,2018,Port Louis,149
Mayotte,2018,Mamoudzou,6
Mexico,2005,Mexico City,"19,276"
Mexico,2010,Mexico City,"20,137"
Mexico,2015,Mexico City,"21,340"
Mexico,2018,Mexico City,"21,581"
Micronesia (Fed. States of),2018,Palikir,7
Monaco,2018,Monaco,39
Mongolia,2005,Ulaanbaatar,933
Mongolia,2010,Ulaanbaatar,"1,138"
Mongolia,2015,Ulaanbaatar,"1,365"
Mongolia,2018,Ulaanbaatar,"1,520"
Montenegro,2018,Podgorica,177
Montserrat,2018,Brades Estate,0
Morocco,2005,Rabat,"1,635"
Morocco,2010,Rabat,"1,714"
Morocco,2015,Rabat,"1,796"
Morocco,2018,Rabat,"1,847"
Mozambique,2005,Maputo,"1,072"
Mozambique,2010,Maputo,"1,097"
Mozambique,2015,Maputo,"1,100"
Mozambique,2018,Maputo,"1,102"
Myanmar,2005,Nay Pyi Taw,148
Myanmar,2010,Nay Pyi Taw,234
Myanmar,2015,Nay Pyi Taw,376
Myanmar,2018,Nay Pyi Taw,500
Namibia,2005,Windhoek,268
Namibia,2010,Windhoek,314
Namibia,2015,Windhoek,368
Namibia,2018,Windhoek,404
Nauru,2018,Yaren,11
Nepal,2005,Kathmandu,790
Nepal,2010,Kathmandu,965
Nepal,2015,Kathmandu,"1,179"
Nepal,2018,Kathmandu,"1,330"
Netherlands,2005,Amsterdam,"1,025"
Netherlands,2010,Amsterdam,"1,065"
Netherlands,2015,Amsterdam,"1,106"
Netherlands,2018,Amsterdam,"1,132"
New Caledonia,2018,Nouméa,198
New Zealand,2005,Wellington,371
New Zealand,2010,Wellington,387
New Zealand,2015,Wellington,402
New Zealand,2018,Wellington,411
Nicaragua,2005,Managua,910
Nicaragua,2010,Managua,992
Nicaragua,2015,Managua,"1,027"
Nicaragua,2018,Managua,"1,048"
Niger,2005,Niamey,821
Niger,2010,Niamey,954
Niger,2015,Niamey,"1,109"
Niger,2018,Niamey,"1,214"
Nigeria,2005,Abuja,"1,316"
Nigeria,2010,Abuja,"1,814"
Nigeria,2015,Abuja,"2,442"
Nigeria,2018,Abuja,"2,919"
Niue,2018,Alofi,1
Northern Mariana Islands,2010,Garapan,4
Norway,2005,Oslo,818
Norway,2010,Oslo,898
Norway,2015,Oslo,969
Norway,2018,Oslo,"1,012"
Oman,2005,Muscat,622
Oman,2010,Muscat,721
Oman,2015,Muscat,"1,180"
Oman,2018,Muscat,"1,447"
Pakistan,2005,Islamabad,676
Pakistan,2010,Islamabad,804
Pakistan,2015,Islamabad,957
Pakistan,2018,Islamabad,"1,061"
Palau,2018,Melekeok,11
Panama,2005,Panama City,"1,352"
Panama,2010,Panama City,"1,504"
Panama,2015,Panama City,"1,673"
Panama,2018,Panama City,"1,783"
Papua New Guinea,2005,Port Moresby,281
Papua New Guinea,2010,Port Moresby,312
Papua New Guinea,2015,Port Moresby,345
Papua New Guinea,2018,Port Moresby,367
Paraguay,2005,Asunción,"2,134"
Paraguay,2010,Asunción,"2,587"
Paraguay,2015,Asunción,"2,967"
Paraguay,2018,Asunción,"3,222"
Peru,2005,Lima,"8,081"
Peru,2010,Lima,"8,920"
Peru,2015,Lima,"9,813"
Peru,2018,Lima,"10,391"
Philippines,2005,Manila,"10,751"
Philippines,2010,Manila,"11,887"
Philippines,2015,Manila,"12,860"
Philippines,2018,Manila,"13,482"
Poland,2005,Warsaw,"1,684"
Poland,2010,Warsaw,"1,703"
Poland,2015,Warsaw,"1,740"
Poland,2018,Warsaw,"1,768"
Portugal,2005,Lisbon,"2,742"
Portugal,2010,Lisbon,"2,812"
Portugal,2015,Lisbon,"2,883"
Portugal,2018,Lisbon,"2,927"
Puerto Rico,2005,San Juan,"2,493"
Puerto Rico,2010,San Juan,"2,478"
Puerto Rico,2015,San Juan,"2,463"
Puerto Rico,2018,San Juan,"2,454"
Qatar,2005,Doha,373
Qatar,2010,Doha,524
Qatar,2015,Doha,590
Qatar,2018,Doha,633
Republic of Korea,2005,Seoul,"9,822"
Republic of Korea,2010,Seoul,"9,796"
Republic of Korea,2015,Seoul,"9,897"
Republic of Korea,2018,Seoul,"9,963"
Republic of Moldova,2005,Chisinau,585
Republic of Moldova,2010,Chisinau,555
Republic of Moldova,2015,Chisinau,526
Republic of Moldova,2018,Chisinau,510
Réunion,2018,Saint-Denis,147
Romania,2005,Bucharest,"1,912"
Romania,2010,Bucharest,"1,889"
Romania,2015,Bucharest,"1,849"
Romania,2018,Bucharest,"1,821"
Russian Federation,2005,Moscow,"10,751"
Russian Federation,2010,Moscow,"11,461"
Russian Federation,2015,Moscow,"12,049"
Russian Federation,2018,Moscow,"12,410"
Rwanda,2005,Kigali,668
Rwanda,2010,Kigali,797
Rwanda,2015,Kigali,951
Rwanda,2018,Kigali,"1,058"
Saint Helena,2018,Jamestown,1
Saint Kitts and Nevis,2018,Basseterre,14
Saint Lucia,2018,Castries,22
Saint Pierre and Miquelon,2018,Saint-Pierre,6
Saint Vincent & Grenadines,2018,Kingstown,27
Samoa,2018,Apia,36
San Marino,2018,San Marino,4
Sao Tome and Principe,2018,Sao Tome,80
Saudi Arabia,2005,Riyadh,"4,252"
Saudi Arabia,2010,Riyadh,"5,220"
Saudi Arabia,2015,Riyadh,"6,218"
Saudi Arabia,2018,Riyadh,"6,907"
Senegal,2005,Dakar,"2,135"
Senegal,2010,Dakar,"2,427"
Senegal,2015,Dakar,"2,758"
Senegal,2018,Dakar,"2,978"
Serbia,2005,Belgrade,"1,303"
Serbia,2010,Belgrade,"1,336"
Serbia,2015,Belgrade,"1,369"
Serbia,2018,Belgrade,"1,389"
Seychelles,2018,Victoria,28
Sierra Leone,2005,Freetown,786
Sierra Leone,2010,Freetown,905
Sierra Leone,2015,Freetown,"1,043"
Sierra Leone,2018,Freetown,"1,136"
Singapore,2005,Singapore,"4,491"
Singapore,2010,Singapore,"5,074"
Singapore,2015,Singapore,"5,535"
Singapore,2018,Singapore,"5,792"
Sint Maarten (Dutch part),2018,Philipsburg,41
Slovakia,2005,Bratislava,426
Slovakia,2010,Bratislava,414
Slovakia,2015,Bratislava,422
Slovakia,2018,Bratislava,430
Slovenia,2018,Ljubljana,286
Solomon Islands,2018,Honiara,82
Somalia,2005,Mogadishu,"1,415"
Somalia,2010,Mogadishu,"1,353"
Somalia,2015,Mogadishu,"1,783"
Somalia,2018,Mogadishu,"2,082"
South Africa,2005,Pretoria,"1,334"
South Africa,2010,Pretoria,"1,666"
South Africa,2015,Pretoria,"2,081"
South Africa,2018,Pretoria,"2,378"
South Sudan,2005,Juba,202
South Sudan,2010,Juba,255
South Sudan,2015,Juba,321
South Sudan,2018,Juba,369
Spain,2005,Madrid,"5,383"
Spain,2010,Madrid,"5,787"
Spain,2015,Madrid,"6,221"
Spain,2018,Madrid,"6,497"
Sri Lanka,2005,Colombo,614
Sri Lanka,2010,Colombo,574
Sri Lanka,2015,Colombo,581
Sri Lanka,2018,Colombo,600
State of Palestine,2018,East Jerusalem,275
Sudan,2005,Khartoum,"3,979"
Sudan,2010,Khartoum,"4,517"
Sudan,2015,Khartoum,"5,128"
Sudan,2018,Khartoum,"5,534"
Suriname,2018,Paramaribo,239
Sweden,2005,Stockholm,"1,248"
Sweden,2010,Stockholm,"1,360"
Sweden,2015,Stockholm,"1,495"
Sweden,2018,Stockholm,"1,583"
Switzerland,2005,Bern,367
Switzerland,2010,Bern,387
Switzerland,2015,Bern,409
Switzerland,2018,Bern,422
Syrian Arab Republic,2005,Damascus,"2,200"
Syrian Arab Republic,2010,Damascus,"2,401"
Syrian Arab Republic,2015,Damascus,"2,223"
Syrian Arab Republic,2018,Damascus,"2,320"
Tajikistan,2005,Dushanbe,640
Tajikistan,2010,Dushanbe,721
Tajikistan,2015,Dushanbe,812
Tajikistan,2018,Dushanbe,873
TFYR of Macedonia,2005,Skopje,485
TFYR of Macedonia,2010,Skopje,521
TFYR of Macedonia,2015,Skopje,560
TFYR of Macedonia,2018,Skopje,584
Thailand,2005,Bangkok,"7,272"
Thailand,2010,Bangkok,"8,269"
Thailand,2015,Bangkok,"9,403"
Thailand,2018,Bangkok,"10,156"
Timor-Leste,2018,Dili,281
Togo,2005,Lomé,"1,315"
Togo,2010,Lomé,"1,466"
Togo,2015,Lomé,"1,635"
Togo,2018,Lomé,"1,746"
Tonga,2018,Nuku'alofa,23
Trinidad and Tobago,2005,Port of Spain,547
Trinidad and Tobago,2010,Port of Spain,546
Trinidad and Tobago,2015,Port of Spain,545
Trinidad and Tobago,2018,Port of Spain,544
Tunisia,2005,Tunis,"1,859"
Tunisia,2010,Tunis,"2,014"
Tunisia,2015,Tunis,"2,183"
Tunisia,2018,Tunis,"2,291"
Turkey,2005,Ankara,"3,638"
Turkey,2010,Ankara,"4,166"
Turkey,2015,Ankara,"4,633"
Turkey,2018,Ankara,"4,919"
Turkmenistan,2005,Ashgabat,592
Turkmenistan,2010,Ashgabat,668
Turkmenistan,2015,Ashgabat,753
Turkmenistan,2018,Ashgabat,810
Turks and Caicos Islands,2001,Cockburn Town,0
Tuvalu,2018,Funafuti,7
Uganda,2005,Kampala,"1,576"
Uganda,2010,Kampala,"2,016"
Uganda,2015,Kampala,"2,577"
Uganda,2018,Kampala,"2,986"
Ukraine,2005,Kyiv,"2,673"
Ukraine,2010,Kyiv,"2,795"
Ukraine,2015,Kyiv,"2,895"
Ukraine,2018,Kyiv,"2,957"
United Arab Emirates,2005,Abu Dhabi,655
United Arab Emirates,2010,Abu Dhabi,912
United Arab Emirates,2015,Abu Dhabi,"1,203"
United Arab Emirates,2018,Abu Dhabi,"1,420"
United Kingdom,2005,London,"7,501"
United Kingdom,2010,London,"8,044"
United Kingdom,2015,London,"8,661"
United Kingdom,2018,London,"9,046"
United Rep. of Tanzania,2018,Dodoma,262
United States of America,2005,"Washington, D.C.","4,264"
United States of America,2010,"Washington, D.C.","4,604"
United States of America,2015,"Washington, D.C.","4,972"
United States of America,2018,"Washington, D.C.","5,207"
United States Virgin Islands,2018,Charlotte Amalie,52
Uruguay,2005,Montevideo,"1,613"
Uruguay,2010,Montevideo,"1,659"
Uruguay,2015,Montevideo,"1,707"
Uruguay,2018,Montevideo,"1,737"
Uzbekistan,2005,Tashkent,"2,169"
Uzbekistan,2010,Tashkent,"2,244"
Uzbekistan,2015,Tashkent,"2,379"
Uzbekistan,2018,Tashkent,"2,464"
Vanuatu,2018,Port Vila,53
Venezuela (Boliv. Rep. of),2005,Caracas,"2,886"
Venezuela (Boliv. Rep. of),2010,Caracas,"2,899"
Venezuela (Boliv. Rep. of),2015,Caracas,"2,920"
Venezuela (Boliv. Rep. of),2018,Caracas,"2,935"
Viet Nam,2005,Hanoi,"2,160"
Viet Nam,2010,Hanoi,"2,811"
Viet Nam,2015,Hanoi,"3,657"
Viet Nam,2018,Hanoi,"4,283"
Wallis and Futuna Islands,2018,Matu-Utu,1
Yemen,2005,Sana'a,"1,741"
Yemen,2010,Sana'a,"2,084"
Yemen,2015,Sana'a,"2,495"
Yemen,2018,Sana'a,"2,779"
Zambia,2005,Lusaka,"1,357"
Zambia,2010,Lusaka,"1,723"
Zambia,2015,Lusaka,"2,187"
Zambia,2018,Lusaka,"2,524"
Zimbabwe,2005,Harare,"1,450"
Zimbabwe,2010,Harare,"1,475"
Zimbabwe,2015,Harare,"1,500"
Zimbabwe,2018,Harare,"1,515"
